idxLoop;idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
1;-1;8.972999999998137;37799.775;2.004;23.378986099851534;4.483164556962024;0.024936708860758938;-1.428;4.483233909160809;4.7051642143765084
1;-1;9.072999999996682;37799.875;2.009;23.745148209437602;4.4798101265822785;0.016708860759494303;-1.4076;4.479841286949462;4.6957763699155235
1;-1;9.173999999999069;37799.976;2.006;23.558242902635616;4.478987341772152;0.026012658227848186;-1.4211999999999998;4.479062878118954;4.699129036975177
1;-1;9.273999999997613;37800.076;2.01;23.881692436567313;4.479240506329113;0.009113924050633257;-1.3974;4.479249778383774;4.69216424873971
1;-1;9.372999999999593;37800.175;2.006;23.703970460692066;4.478924050632912;0.009620253164557026;-1.4076;4.478934382262022;4.694911177073415
1;-1;9.472999999998137;37800.275;2.004;23.757320791102334;4.4798101265822785;0.006392405063291081;-1.3974;4.4798146873583535;4.692703527080272
1;-1;9.573999999993248;37800.376;2.009;23.82990271398962;4.481139240506329;0.005189873417721116;-1.3974;4.481142245855596;4.693970876304169
1;-1;9.673999999999069;37800.476;2.006;23.58750496477744;4.479493670886074;0.008354430379747152;-1.4178;4.479501461548525;4.69851999932057
1;-1;9.773999999997613;37800.576;2.004;23.381923292470248;4.481012658227848;-0.002151898734176697;-1.4314;4.481013174926667;4.704081741835102
1;-1;9.872999999999593;37800.675;2.009;23.448992465740083;4.4783544303797465;0.0079746835443041;-1.4382;4.478361530702891;4.7036306444787455
1;-1;9.972999999998137;37800.775;2.006;23.557598655406732;4.481265822784811;0.0008227848101269133;-1.4178;4.4812658983186955;4.700202218142754
1;-1;10.072999999996682;37800.875;2.007;23.318959244008344;4.477468354430379;0.0018987341772152618;-1.4484;4.4774687570229865;4.705910010839239
1;1;10.172999999995227;37800.975;2.009;23.605438622549542;4.477594936708861;-6.329113924080853e-05;-1.4245999999999999;4.477594937156175;4.69875957900025
1;1;10.185999999994237;37800.988;2.019;23.88232149039443;4.478797468354429;-0.0003164556962022438;-1.4143999999999999;4.478797479534239;4.696823844118731
1;1;10.197999999996682;37801.0;2.032;24.005562840324767;4.479683544303798;0.00018987341772152617;-1.4245999999999999;4.479683548327734;4.700749924550141
1;1;10.209999999999127;37801.012;2.047;24.32377456958581;4.475696202531645;0.003417721518987471;-1.428;4.475697507448037;4.6979838418385995
1;1;10.221999999994296;37801.024;2.075;24.893205319179856;4.478037974683544;0.001075949367089248;-1.4211999999999998;4.478038103944063;4.698152264494515
1;1;10.233000000000175;37801.035;2.103;25.458646198478803;4.476645569620254;0.00012658227848071765;-1.4211999999999998;4.4766455714098825;4.696824992697057
1;1;10.244999999995343;37801.047;2.137;25.778501624757897;4.480063291139241;-0.0018987341772152618;-1.4449999999999998;4.480063693498659;4.707334245388237
1;1;10.256999999997788;37801.059;2.178;26.682487594263556;4.478481012658229;-0.00297468354430361;-1.4382;4.478482000575916;4.703745344880232
1;1;10.269000000000233;37801.071;2.224;27.769273381845768;4.479683544303798;0.00493670886075968;-1.4211999999999998;4.47968626448333;4.6997232331490135
1;1;10.281999999999243;37801.084;2.277;29.005929032311077;4.479303797468355;-0.0022151898734175056;-1.4076;4.479304345217079;4.6952641221853115
1;1;10.293999999994412;37801.096;2.331;29.778995774685722;4.477278481012658;0.0006962025316452962;-1.4347999999999999;4.477278535141295;4.701560817562289
1;1;10.305999999996857;37801.108;2.396;30.830334645042868;4.478417721518986;-0.003227848101265945;-1.4518;4.478418884764876;4.70786139849281
1;1;10.317999999999302;37801.12;2.462;32.37644704887162;4.477974683544304;-0.0030379746835444187;-1.4382;4.477975714064771;4.703263307083061
1;1;10.32999999999447;37801.132;2.533;34.26312243342852;4.479683544303797;-0.0003164556962022438;-1.4076;4.479683555481396;4.695625891960564
1;1;10.341999999996915;37801.144;2.611;35.93508669164199;4.478734177215189;-0.0066455696202525165;-1.4076;4.47873910757827;4.694724885842726
1;1;10.35399999999936;37801.156;2.697;37.63322524772137;4.479746835443037;-0.009683544303797835;-1.4143999999999999;4.479757301539023;4.697739120118548
1;1;10.365999999994528;37801.168;2.785;39.736422138692916;4.47879746835443;-0.010189873417721604;-1.4042;4.478809060013423;4.693773347324977
1;1;10.377999999996973;37801.18;2.88;41.305771280515785;4.477088607594936;-0.008734177215190203;-1.4347999999999999;4.477097127169344;4.701388063764572
1;1;10.389999999999418;37801.192;2.979;43.67610775000279;4.477025316455697;-0.009303797468353883;-1.4245999999999999;4.4770349836507375;4.698225984862005
1;1;10.401999999994587;37801.204;3.082;45.513727027358314;4.4781645569620245;-0.00841772151898796;-1.4449999999999998;4.478172468459255;4.705534364688718
1;1;10.413999999997031;37801.216;3.193;48.6291758177243;4.476645569620252;-0.011645569620253005;-1.4178;4.476660717018033;4.69581175253996
1;1;10.425999999999476;37801.228;3.31;51.549205234166756;4.478291139240507;-0.01696202531645574;-1.4042;4.47832326190315;4.693309799928285
1;1;10.43699999999808;37801.239;3.431;53.934110566055175;4.476582278481012;-0.01829113924050642;-1.4245999999999999;4.476619646763053;4.697830203592395
1;1;10.448999999993248;37801.251;3.556;56.77629131230405;4.4781645569620245;-0.022025316455696137;-1.4245999999999999;4.478218721076033;4.6993540060093215
1;1;10.460999999995693;37801.263;3.689;60.17708503751581;4.475886075949367;-0.0253797468354428;-1.4178;4.47595803112885;4.695141865420773
1;1;10.472999999998137;37801.275;3.821;63.13371723315682;4.479936708860759;-0.028037974683544166;-1.4178;4.480024446743848;4.699018608541844
1;1;10.484999999993306;37801.287;3.966;66.47800729466616;4.478481012658229;-0.02487341772151903;-1.4245999999999999;4.478550085423788;4.699669778574812
1;1;10.495999999999185;37801.298;4.115;70.226029980831;4.475443037974682;-0.025189873417721272;-1.4245999999999999;4.475513927570649;4.6967765622689415
1;1;10.507999999994354;37801.31;4.271;73.91768297584423;4.477468354430378;-0.0318987341772155;-1.4245999999999999;4.477581980731072;4.698747232419254
1;1;10.519999999996799;37801.322;4.429;77.978914145004;4.478417721518986;-0.030000000000000235;-1.4178;4.478518202309254;4.697582583458785
1;1;10.531999999999243;37801.334;4.59;81.82384096643909;4.476772151898734;-0.021265822784810033;-1.4245999999999999;4.4768226606863415;4.698023658437102
1;1;10.543999999994412;37801.346;4.759;86.17638058153884;4.47867088607595;-0.0203164556962033;-1.4178;4.47871696629251;4.697772078779088
1;1;10.555999999996857;37801.358;4.934;90.57089174848514;4.480696202531646;-0.026518987341771955;-1.4143999999999999;4.480774678118856;4.698709298953399
1;1;10.567999999999302;37801.37;5.118;95.23091225473854;4.47626582278481;-0.03278481012658232;-1.4211999999999998;4.47638588149038;4.696577477270699
1;1;10.58299999999872;37801.385;5.301;99.72227551397103;4.478481012658228;-0.03177215189873388;-1.4211999999999998;4.478593713474861;4.6986818460475215
1;1;10.59599999999773;37801.398;5.49;103.2151452103262;4.479177215189873;-0.03911392405063259;-1.4484;4.479347990961491;4.707698055751956
1;1;10.606999999996333;37801.409;5.689;107.71827737684922;4.479493670886076;-0.043481012658227694;-1.4586;4.479704694058549;4.711185424706843
