 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
421	532	10989.561	40.673	123.279	26.304	25.752	66.782	141
422	513	11366.238	112.036	123.023	25.988	25.134	57.047	141
423	553	7865.802	185.208	129.008	26.802	26.270	132.447	141
424	531	11024.912	40.652	123.241	26.187	25.817	73.790	142
425	513	11366.104	112.003	122.838	26.000	25.122	53.784	142
426	553	7879.166	185.176	128.814	26.634	26.436	120.844	142
427	533	11037.220	40.672	123.148	26.224	25.879	72.924	143
428	512	11359.984	112.019	122.825	25.933	25.138	57.966	143
429	555	7859.196	185.199	128.749	26.818	26.349	124.337	143
430	533	11015.260	40.671	123.427	26.447	25.660	76.873	144
431	514	11337.742	112.040	123.001	25.954	25.216	60.091	144
432	550	7853.675	185.194	128.905	26.765	26.164	133.046	144
433	529	11047.602	40.656	123.553	26.217	25.691	57.537	145
434	512	11365.732	112.007	123.167	26.088	24.988	61.383	145
435	551	7862.406	185.152	129.022	26.784	26.193	130.644	145
436	534	11020.291	40.663	123.602	26.481	25.675	76.834	146
437	518	11341.016	112.074	123.134	25.955	25.411	52.442	146
438	552	7902.101	185.178	128.939	26.759	26.266	126.126	146
439	536	10966.200	40.670	123.413	26.276	25.973	55.731	147
440	518	11316.726	112.041	122.982	25.975	25.391	74.397	147
441	557	7868.045	185.164	128.786	26.828	26.434	102.649	147
442	531	10996.835	40.661	123.444	26.273	25.733	73.732	148
443	517	11336.389	112.009	123.036	26.102	25.219	54.407	148
444	552	7895.610	185.167	128.747	26.756	26.268	120.478	148
445	534	10936.637	40.625	123.638	26.383	25.771	72.549	149
446	517	11303.338	111.998	123.185	26.129	25.193	56.500	149
447	552	7865.826	185.135	128.815	26.606	26.416	116.671	149
448	532	11017.577	40.651	123.504	26.374	25.683	69.026	150
449	517	11352.812	112.033	123.119	25.919	25.397	56.568	150
450	554	7881.964	185.169	128.709	26.658	26.460	121.853	150
451	535	10974.595	40.707	123.214	26.334	25.867	70.317	151
452	513	11334.881	112.072	122.946	25.945	25.175	46.461	151
453	550	7862.014	185.192	128.537	26.518	26.407	156.201	151
454	533	10986.544	40.681	123.336	26.283	25.820	65.450	152
455	515	11349.533	112.057	122.989	25.916	25.302	57.049	152
456	545	7869.027	185.167	128.468	26.455	26.230	161.829	152
457	533	11021.385	40.667	123.526	26.289	25.814	65.208	153
458	514	11366.070	112.016	123.126	26.073	25.101	59.210	153
459	553	7851.990	185.155	128.612	26.676	26.395	94.616	153
460	532	11026.691	40.665	123.435	26.315	25.741	79.877	154
461	514	11329.037	112.024	123.100	26.032	25.140	60.181	154
462	551	7879.022	185.151	128.600	26.689	26.286	116.229	154
463	532	10991.406	40.671	123.357	26.357	25.699	73.453	155
464	517	11322.194	112.032	123.043	25.941	25.376	64.209	155
465	548	7874.233	185.157	128.412	26.533	26.297	146.225	155
466	534	10971.770	40.645	123.224	26.335	25.817	64.884	156
467	518	11308.730	112.017	122.938	26.114	25.257	56.662	156
468	551	7856.027	185.124	128.339	26.702	26.274	133.389	156
469	533	10913.643	40.656	123.327	26.323	25.781	57.178	157
470	513	11310.441	112.004	123.015	26.078	25.047	59.083	157
471	551	7855.629	185.151	128.417	26.631	26.344	128.836	157
472	532	11003.003	40.690	123.353	26.283	25.772	70.453	158
473	522	11239.117	112.037	123.184	26.127	25.438	54.661	158
474	552	7854.498	185.160	128.551	26.596	26.426	92.905	158
475	536	10993.264	40.721	123.368	26.392	25.859	66.860	159
476	515	11356.968	112.068	123.101	25.990	25.230	61.665	159
477	550	7873.654	185.171	128.388	26.658	26.269	127.243	159
478	529	11021.488	40.716	123.262	26.255	25.654	53.094	160
479	517	11306.569	112.067	122.999	26.098	25.222	63.665	160
480	553	7840.483	185.162	128.224	26.739	26.333	135.109	160
481	533	11003.489	40.722	123.303	26.273	25.831	58.552	161
482	516	11316.831	112.087	122.954	25.967	25.301	45.415	161
483	549	7876.051	185.195	128.224	26.671	26.209	125.223	161
484	531	11012.133	40.744	123.266	26.170	25.835	59.545	162
485	513	11318.210	112.082	122.957	25.977	25.144	51.975	162
486	550	7869.917	185.173	128.237	26.660	26.267	125.115	162
487	533	11018.948	40.747	123.234	26.242	25.861	68.810	163
488	516	11326.107	112.094	122.933	25.971	25.297	39.701	163
489	552	7879.925	185.165	128.078	26.680	26.342	131.108	163
490	535	10991.226	40.743	122.975	26.387	25.815	50.355	164
491	513	11331.748	112.076	122.706	25.921	25.199	44.467	164
492	552	7870.328	185.180	127.904	26.537	26.485	63.975	164
493	537	10968.435	40.766	123.046	26.425	25.874	55.603	165
494	515	11343.369	112.127	122.721	26.000	25.220	42.159	165
495	557	7861.824	185.222	127.884	26.802	26.460	90.009	165
496	532	10987.027	40.762	123.084	26.392	25.665	61.020	166
497	514	11320.646	112.118	122.832	26.121	25.054	52.943	166
498	556	7844.620	185.169	127.967	26.671	26.543	136.532	166
499	535	10980.201	40.786	123.103	26.369	25.833	65.999	167
500	516	11315.552	112.137	122.852	26.068	25.203	46.162	167
501	555	7854.393	185.231	127.918	26.702	26.464	101.368	167
502	535	10947.833	40.810	122.867	26.458	25.746	49.588	168
503	516	11297.363	112.177	122.647	26.090	25.182	44.455	168
504	558	7857.382	185.235	127.773	26.933	26.379	108.539	168
505	535	10955.008	40.855	122.944	26.394	25.808	66.285	169
506	519	11234.569	112.206	122.649	26.181	25.240	32.169	169
507	559	7814.344	185.279	127.718	27.047	26.315	115.180	169
508	537	10925.229	40.891	123.030	26.369	25.929	57.478	170
509	516	11263.218	112.239	122.814	26.065	25.206	54.048	170
510	557	7840.525	185.297	127.814	26.917	26.348	110.335	170
511	536	10974.625	40.884	123.006	26.432	25.819	56.986	171
512	515	11313.399	112.213	122.898	26.117	25.107	52.852	171
513	554	7914.402	185.294	127.782	26.750	26.369	123.696	171
514	532	11000.654	40.871	122.796	26.357	25.700	52.077	172
515	516	11306.102	112.224	122.721	26.092	25.179	39.297	172
516	551	7876.619	185.309	127.578	26.636	26.338	153.203	172
517	534	10957.310	40.888	122.668	26.287	25.864	42.891	173
518	512	11333.972	112.234	122.594	26.062	25.013	37.905	173
