 	Area	StdDev	XM	YM	Slice
266	422	4222.675	90.379	94.096	337
267	429	4150.249	89.697	93.691	338
268	430	4067.787	90.715	93.823	339
269	437	4050.785	89.964	95.535	340
270	432	3988.606	90.517	94.526	341
271	434	3904.857	90.485	95.163	342
272	434	3870.677	90.604	94.273	343
273	445	3815.659	90.022	95.419	344
274	444	3758.738	89.821	95.166	345
275	446	3701.449	90.099	94.764	346
276	446	3623.037	90.590	94.040	347
277	448	3588.033	90.349	94.287	348
278	451	3522.589	89.697	95.067	349
279	455	3473.328	89.931	94.196	350
280	459	3423.222	88.595	94.689	351
281	458	3361.561	89.571	95.270	352
282	459	3291.432	89.578	94.944	353
283	459	3223.845	89.226	95.003	354
284	461	3187.634	89.832	96.147	355
285	466	3128.539	88.685	95.458	356
286	469	3064.952	88.600	94.712	357
287	464	3023.294	88.557	94.667	358
288	467	2990.385	88.447	94.253	359
289	476	2923.995	89.140	94.145	360
290	473	2871.470	90.515	94.950	361
291	474	2830.227	90.031	95.125	362
292	482	2780.816	89.145	95.403	363
293	478	2756.656	90.087	94.773	364
294	482	2701.454	90.031	95.024	365
295	483	2658.611	89.690	94.569	366
296	484	2610.230	89.416	93.988	367
297	486	2562.821	88.637	94.617	368
298	493	2520.976	89.301	94.929	369
299	489	2477.139	89.295	95.015	370
300	490	2421.658	89.424	94.765	371
301	494	2394.761	90.931	94.630	372
302	499	2341.690	89.662	94.009	373
303	495	2312.542	90.214	95.072	374
304	499	2267.034	89.770	93.910	375
305	502	2218.161	90.180	94.731	376
306	503	2195.918	89.752	94.827	377
307	502	2151.383	90.174	93.681	378
308	499	2092.967	90.257	94.919	379
309	503	2059.681	89.916	94.431	380
310	508	2047.538	89.054	94.943	381
311	513	2006.072	87.964	95.569	382
312	514	1962.541	89.239	94.724	383
313	514	1946.124	89.494	95.357	384
314	508	1889.721	89.410	94.646	385
315	515	1861.678	88.756	95.245	386
316	523	1840.478	88.001	93.650	387
317	516	1790.201	89.333	92.519	388
318	518	1746.100	89.808	92.945	389
319	511	1731.761	90.311	94.031	390
320	521	1700.857	90.136	94.606	391
321	519	1654.766	89.169	93.684	392
322	519	1639.689	88.714	94.424	393
323	522	1591.777	88.940	94.110	394
324	527	1570.784	89.152	94.535	395
325	520	1519.726	89.096	94.491	396
326	523	1504.269	87.946	95.019	397
327	525	1466.398	89.549	94.701	398
328	525	1436.067	88.974	95.339	399
329	531	1410.945	88.188	94.496	400
330	528	1388.485	88.174	94.984	401
